"id","headline","is_approximate_address","address","city","state","latitude","longitude","formatted_address","inc_date","inc_time","inc_type","is_homicide","victim_count","killed_count","is_victims_unknown","summary","suspect_count","is_suspects_unknown","inc_slug"
"55","Man shot in thigh","1","27th and Claymont Streets","Wilmington","DE","39.7495776","-75.5265942","N Claymont St & E 27th St, Wilmington, DE 19802","2011-10-09","04:05:00","SH","0","1","0","0","The unidentified victim told police he was standing at the corner when he heard gunshots and ran to this car. Once inside, he told police, he realized he had been shot in the left thigh and drove to Wilmington Hospital in stable condition,","0","1","man-shot-thigh"
"56","Woman robbed, shot twice","1","1700 Conrad St.","Wilmington","DE","39.7466859","-75.570729","1700 Conrad St, Wilmington, DE 19805","2011-10-11","02:16:00","SH","0","1","0","0","The victim told police she was robbed by an armed man of unspecified belongings, then shot in the right arm and leg. She was taken to Christiana Hospital in stable condition.","0","1","woman-robbed-shot-twice"
"57","Man shot three times","1","1200 Elm Street","Wilmington","DE","39.741129","-75.565899","1200 Elm St, Wilmington, DE 19805","2011-10-12","20:20:00","SH","0","1","0","0","Police, who received numerous phone calls about shots being fired, found the victim with three bullet wounds to his upper body. He was taken to Christiana Hospital in stable condition.","0","1","man-shot-three-times"
"58","Man shot in leg","1","7th and Washington Streets","Wilmington","DE","39.7442752","-75.5537367","N Washington St & W 7th St, Wilmington, DE 19801","2011-10-16","15:24:00","SH","0","1","0","0","Police responding to a report of shots fired found the male victim nearby, at Eighth and Tatnall streets, with a bullet wound in the leg. He told police he was walking when he was shot. Police provided no additional information about the case. The victim was taken to Christiana Hospital in stable condition.","0","1","man-shot-leg"
"59","Man shot several times","1","500 WEST 24TH STREET","Wilmington","DE","39.758122","-75.541114","500 W 24th St, Wilmington, DE 19802","2011-10-18","22:57:00","SH","0","1","0","0","The victim, who was shot multiple times, said he was walking in the area when he heard shots and began leaving, only to realize he had been hit. A friend drove him to Wilmington Hospital in stable condition.","0","1","man-shot-several-times"
"60","Shooter arrested though victim uncooperative","1","2300 CARTER ST.","Wilmington","DE","39.751967","-75.536273","2300 Carter St, Wilmington, DE 19802","2011-10-19","19:40:00","SH","0","1","0","0","Officers responding to a report of shots fired found the man in the 2200 block of Lamotte St. with a bullet wound to his chest. He provided no information about how he was wounded and was ""uncooperative,'' police Master Sgt. Donald Bluestein said. He was taken to the hospital in stable condition.","1","0","man-shot-chest-uncooperative-police"
"61","Man shot fleeing from robbers","1","700 N. Monroe St.","Wilmington","DE","39.745797","-75.55663","700 N Monroe St, Wilmington, DE 19801","2011-10-20","00:05:00","SH","0","1","0","0","Officers who responded to a report of shots fired learned that the victim had just gone to Wilmington Hospital with a bullet wound in his shoulder. The man told police he was walking to a friend's house when three men approached, forced him to his knees at gunpoint and and robbed him of unspecified belongings after threatening to kill him. He told police he managed to run off but the men fired several shots, striking him once as he fled.","1","0","man-shot-fleeing-robbers"
"62","20-year-old shot in leg","0","28th Street and Creston Place","Wilmington","DE","39.759375","-75.5371126","W 28th St & Creston Pl, Wilmington, DE 19802","2011-10-26","22:14:00","SH","0","1","0","0","Police responding to a report of shots fired found the man with a gunshot wound to his leg. He was taken to Christiana Hospital in stable condition.","0","1","21-year-old-shot-leg"
"63","Two men found shot on porch, die","0","Sixth and Franklin Streets","Wilmington","DE","39.7471063","-75.5630709","W 6th St & N Franklin St, Wilmington, DE 19805","2011-10-31","01:47:00","SH","1","2","2","0","A woman flagged officers down and directed them to two men's front porch, thinking they were drunk. Instead, officers found them both suffering from single gunshots to the torso. Nicacio Rojas also was shot once in the left leg. Both men were taken to Christiana Hospital, where they were pronounced dead.","0","1","two-men-found-shot-porch-die"
"64","Man shot four times in car","1","200 N. Madison Street","Wilmington","DE","39.741296","-75.558324","200 N Madison St, Wilmington, DE 19801","2011-11-09","19:47:00","SH","0","1","0","0","Police responding to a report of shots fired found a man slumped against a car and suffering from four gunshot wounds to his left upper chest. Police said the man had been sitting in his car when someone walked up to the driver's side window and shot him. He was taken to Christiana Hospital in stable condition.","0","1","man-shot-four-times-car"
"65","Man shot, killed 48 hours after prison release","1","200 N. Madison Street","Wilmington","DE","39.741296","-75.558324","200 N Madison St, Wilmington, DE 19801","2011-11-11","20:55:00","SH","1","1","1","0","Anderson Brown, who lives on the block, was killed by a single gunshot wound about 48 hours after being freed from prison. Brown had been serving time for a manslaughter conviction stemming from a 2005 Wilmington slaying. ","0","1","man-shot-killed-48-hours-after-prison-release"
"66","Woman driving shot in leg","1","3000 N. Madison St.","Wilmington","DE","39.760616","-75.53503","3000 N Madison St, Wilmington, DE 19802","2011-11-13","22:29:00","SH","0","1","0","0","A woman told police she was in a moving car when someone outside began firing at the vehicle, striking her in the leg. She was hospitalized in stable condition.","0","1","woman-driving-shot-leg"
"67","Man shot in arm walks to hospital","1","600 E. Eighth St.","Wilmington","DE","39.740588","-75.542883","600 E 8th St, Wilmington, DE 19801","2011-11-14","17:57:00","SH","0","1","0","0","The victim said he was walking when he heard what he believed were gunshots, felt pain to his arm and realized he had been struck. He walked to Wilmington Hospital, several blocks away, for treatment.","0","1","man-shot-arm-walks-hospital"
"68","Bullet grazes man's head","1","3000 N. Madison St.","Wilmington","DE","39.760616","-75.53503","3000 N Madison St, Wilmington, DE 19802","2011-11-15","21:45:00","SH","0","1","0","0","The man suffered a graze wound to the side of his head after someone fired at his vehicle as he sat inside. A 20-year-old woman suffered minor facial injuries from glass fragments after the windshield shattered.","0","1","bullet-grazes-mans-head"
"69","Man shot in head, flees","1","600 N. Washington St.","Wilmington","DE","39.743589","-75.553994","600 N Washington St, Wilmington, DE 19801","2011-11-20","20:00:00","SH","0","1","0","0","During an altercation with several people in which several shots were fired, an unidentified man suffered a superficial gunshot wound to the head. He fled the scene but was found by officers responding to the report of shots fired. He was taken by ambulance to Wilmington Hospital.","0","1","man-shot-head-flees"
"70","Man in car shot in back","1","2900 N. Madison St.","Wilmington","DE","39.760132","-75.536109","2900 N Madison St, Wilmington, DE 19802","2011-11-20","17:43:00","SH","0","1","0","0","Officers responding to a report of shots fired found a vacant vehicle, still running, with multiple bullet holes in its side. Nearby, the victim had a single gunshot to his right upper back. He was taken to Wilmington Hospital in stable condition.","0","1","man-car-shot-back"
