all_juvenile_victims_and_suspects,any_juvenile_killed,any_juvenile_suspects,any_juvenile_victims,any_killed,any_suspects,date,day_of_week,hour,id,lat,lng,location,summary,time,title,year,year_month
false,false,false,false,false,true,"Jan. 30, 2011",0,13,13,39.731058,-75.542181,"In the area of 300 New Castle Ave, Wilmington, DE 19801","Police responding to a report of shots fired found Jonathan Simmons, 39, with a gunshot wound to his chest. He was taken to Christiana Hospital in critical condition. Simmons survived, but he lost the use of his legs because of the wound. Rashie harris, 23, was arrested Feb. 17, 2011 and found guilty at trial.",1:51 p.m.,"Man shot in chest, paralyzed",2011,2011-01
false,false,false,false,false,true,"Feb. 15, 2011",2,19,14,39.7559091,-75.5382263,"In the area of 200 W 25th St, Wilmington, DE 19802","Police responding to a report of a shooting found an unidentified man in his 20s suffering from gunshot wounds. He was taken to Christiana Hospital in stable condition. Emedio Jone, 25, was arrested but found not guilty.",7:09 p.m.,Man shot on 25th Street,2011,2011-02
false,false,false,false,true,false,"Feb. 17, 2011",4,21,15,39.744341,-75.568434,"Lancaster Ave &amp; N Rodney St, Wilmington, DE 19805","Police responding to a report of shots fired found Michael Davis in the street with multiple gunshot wounds. He was rushed to Christiana Hospital, where he was pronounced dead.",9 p.m.,"29-year-old shot, killed",2011,2011-02
false,false,false,false,true,true,"March 5, 2011",6,21,16,39.73284,-75.540642,"In the area of 100 Christiana Ave, Wilmington, DE 19801","Officers responding to a report that a taxicab had crashed into a pole found that Nahum Dalmace, the driver, was shot in the torso. Dalmace had picked up his alleged assailants in Bear, but was robbed and shot in the neck after he brought the two into Wilmington. The .357 Magnum bullet traveled downward, hit his spinal cord and left lung and exited under his left arm pit, court records said. Dalmace, who lived near New Castle, died on March 18.",9:49 p.m.,"Taxi driver robbed, killed",2011,2011-03
false,true,false,true,true,true,"March 5, 2011",6,0,17,39.741847,-75.565235,"Chestnut St &amp; S Harrison St, Wilmington, DE 19805","Ronald Kelson, who was featured in a local documentary about Wilmington crime violence as a teen poised to turn his life around, was shot after arguing with another man, police said. The man fired some 20 shots, including four that struck two homes.

Kelson was hit in the lower back, and the bullet severed the femoral artery that carries blood to the lower extremities, causing a heavy loss of blood. He was rushed to Christiana Hospital, where he was pronounced dead. On the night he was killed, there was a screening of the film at the Delaware Art Museum, but Kelson did not attend.                                                                  

The other victim was shot in the left elbow.",12:25 a.m.,16-year-old killed after argument,2011,2011-03
false,false,false,false,false,true,"March 21, 2011",1,22,18,39.752574,-75.539483,"In the area of 2200 N Market St, Wilmington, DE 19802","Officers on patrol heard several shots and saw the victim fall to the ground and a man dressed in black clothing running from the scene. The man was shot in the torso several times and the left forearm and taken to Christiana Hospital, where he underwent emergency surgery.

He later told police who interviewed him at the hospital that two men he did not know approached from behind. They displayed handguns, he said, and robbed him of his cell phone while one fired several shots.",10:20 p.m.,Man shot several times on Market Street,2011,2011-03
false,false,false,false,false,false,"March 25, 2011",5,14,20,39.740586,-75.564541,"In the area of 300 S Van Buren St, Wilmington, DE 19805",Police responding to a report of shots fired found the two men with numerous gunshot wounds. Both were taken to Christiana Hospital in stable condition.,2:25 p.m.,Two men shot on Van Buren Street,2011,2011-03
false,false,false,false,false,true,"March 27, 2011",0,17,21,39.7536239,-75.5377358,"In the area of 0 E 24th St, Wilmington, DE 19802","Officers responding to a report of a shooting found an 18-year-old man, who lives on the block, with a gunshot wound to his abdomen. The victim was uncooperative at the scene, police said. He was taken to Christiana Hospital in critical but stable condition.",5:34 p.m.,Man shot in abdomen,2011,2011-03
false,false,false,false,false,false,"March 31, 2011",4,20,22,39.747556,-75.555948,"In the area of 800 W 9th St, Wilmington, DE 19801","The man was shot in his left buttock and taken by private car to Wilmington Hospital, where he was in stable condition.

No one has been arrested and police have released no further information.",8:50 p.m.,Man shot in buttocks,2011,2011-03
false,false,false,false,false,false,"April 10, 2011",0,20,23,39.7554774,-75.539172,"N West St &amp; W 24th St, Wilmington, DE 19802","Officers were dispatched to St. Francis Hospital to investigate a report that a shooting victim had arrived by private car. The man, who was in stable condition with a bullet wound to his right calf, told police he was standing on the corner when he was approached by a stranger who began shooting at him. He told police he flagged down a car and was driven to the hospital.",8:30 p.m.,Man shot in calf,2011,2011-04
false,false,false,false,false,true,"April 13, 2011",3,0,24,39.7467544,-75.5534688,"In the area of N Jefferson St &amp; W 9th St, Wilmington, DE 19801","Police responding to a report of shots fired found the victim with a gunshot wound to his head. The man was taken to Christiana Hospital in stable condition. The victim said he was sitting in a vehicle when a man with a handgun forced him out and demanded money. The two struggled and the victim was struck several times with the weapon, which went off. The gunman took money from the victim and ran off, police said.

Brandon A. Boddy, 24, was arrested shortly after the incident when police found him a few blocks from the scene with blood on his face and hands.",12:05 a.m.,Man shot in head during robbery,2011,2011-04
false,false,false,false,false,false,"April 16, 2011",6,2,25,39.741646,-75.540777,"In the area of 900 Spruce St, Wilmington, DE 19801",Police were called to Christiana Hospital about a victim who had arrived by private vehicle. The man told police he was walking in the area looking at his cell phone and heard two gunshots. He told police he started to run but felt pain in his groin area and realized he had been shot. He was treated for a superficial wound.,2:45 a.m.,Man shot in groin,2011,2011-04
false,false,false,false,false,false,"April 16, 2011",6,0,26,39.7410039,-75.5414526,"In the area of 700 Taylor St, Wilmington, DE 19801","Police were called to Wilmington Hospital about a victim who had arrived by private vehicle. The man told police he was walking alone when he heard three gunshots and started to run, only to feel pain in his upper thigh. He told police he realized he had been shot and flagged down a family friend, who drove him to the hospital.",12:40 a.m.,Man shot in upper thigh,2011,2011-04
false,false,false,false,true,false,"April 18, 2011",1,18,27,39.7426467,-75.5618719,"In the area of 200 N Jackson St, Wilmington, DE 19805","Brown was shot in the abdomen and wrist while playing basketball at courts under Interstate 95 when a man approached him and began firing, police said. He was rushed to Christiana Hospital where he underwent emergency surgery but he was pronounced dead about 4 1/2 hours after the shooting.",6:02 p.m.,"Man playing basketball shot, killed",2011,2011-04
false,false,false,false,true,true,"April 24, 2011",0,22,28,39.7515639,-75.5360781,"In the area of 300 E 23rd St, Wilmington, DE 19802","Officers responding to a report of a person lying on the sidewalk found Williams unconscious and responsive from a gunshot wound to the chest. He was rushed to Christiana Hospital, where he was pronounced dead.",10:12 p.m.,"Man shot, killed on 23rd Street",2011,2011-04
false,false,false,false,false,false,"April 26, 2011",2,23,29,39.7416486,-75.5410302,"In the area of Spruce St &amp; E 9th St, Wilmington, DE 19801",Police called to Wilmington Hospital found a man with a gunshot wound to his left thigh. He told police he was standing on the corner when gunfire erupted and he was caught in the crossfire between separate groups.,11:42 p.m.,"Man caught in crossfire, shot",2011,2011-04
false,false,false,false,true,true,"April 27, 2011",3,15,30,39.7589523,-75.5367915,"In the area of N Jefferson St &amp; W 28th St, Wilmington, DE 19802","Antonio Smith, a paraplegic confined to a wheelchair from being shot in Wilmington about eight years earlier, was found in a front yard, shot once in the chest with a .40-caliber handgun. He was rushed to Christiana Hospital, where he was pronounced dead.

Talib-din, a resident of Upper Darby, Pa., was found in an alley between 2806 and 2808 Jefferson St., with eight gunshot wounds, and taken to Christiana Hospital in critical condition.

Medford Holmes, of Wilmington, was arrested and charged in connection with the shooting. A jury was unable to reach a verdict, resulting in a mistrial.",3:31 p.m.,"Paraplegic shooting victim shot again, killed",2011,2011-04
false,false,false,false,false,true,"April 29, 2011",5,20,31,39.7428231,-75.5659657,"In the area of Read St, Wilmington, DE 19805",Police responding to a report of shots fired found no victim but the man had already been taken by private vehicle to St. Francis Hospital in stable condition.,8:37 p.m.,Man shot on read Street,2011,2011-04
false,false,false,false,false,true,"April 29, 2011",5,3,32,39.748015,-75.5682269,"In the area of 1600 W 5th St, Wilmington, DE 19805",Police responding to a report of shots fired found the man with a bullet wound to his right upper torso. He was taken to Christiana Hospital in critical condition.,3:57 a.m.,Man shot in torso,2011,2011-04
false,false,false,false,true,false,"May 1, 2011",0,2,33,39.7425002,-75.5404043,"In the area of 700 E 10th St, Wilmington, DE 19801","Police found Tyrelle Boyd unconscious and unresponsive with unspecified wounds and tried to revive him until paramedics arrived and took him to Christiana Hospital, where he was pronounced dead.",2:11 a.m.,"Man shot, killed on 10th Street",2011,2011-05
false,false,false,false,false,false,"May 14, 2011",6,22,34,39.743012,-75.563216,"1100 W 2nd St, Wilmington, DE 19805","A woman, who was shot in her lower left leg, told police she was in her house when a large fight started out front. She walked outside to investigate, heard two gunshots and realized she had been shot, she told police.",10:34 p.m.,Woman shot after fight breaks out,2011,2011-05
false,false,false,false,false,false,"May 14, 2011",6,13,35,39.730807,-75.543521,"340 Townsend St, Wilmington, DE 19801","Police responding to a report of shots fired found a woman inside a building with a bullet wound to her right upper thigh. She sustained a ""contusion'' from the bullet wound and declined medical treatment, police said. Police said witnesses told them several people were fighting and one began shooting ""up and down the block,'' striking nine homes, two cars and the woman, who was inside her grandmother's home.",1:13 p.m.,Stray bullet strikes woman,2011,2011-05
false,false,false,false,false,false,"May 17, 2011",2,1,36,39.745323,-75.5586467,"In the area of N Adams St &amp; W 6th St, Wilmington, DE 19801","Police responding to a report of a shooting found no victim but 45 minutes later received a call from Wilmington Hospital about a woman seeking treatment for a bullet wound to her right foot. The victim told police she was crossing over Interstate 95 when she heard gunfire and felt a burning sensation in her foot, then looked down and saw blood coming from a wound. She said she called a relative to drive her to the hospital.",1 a.m.,Woman shot in foot,2011,2011-05
false,false,false,false,false,true,"June 10, 2011",5,17,37,39.7515737,-75.540374,"Vandever Ave &amp; Buena Vista St, Wilmington, DE 19802","The victim, who was shot several times in his right thigh, said three people tried to rob him, and one pulled out a handgun and shot him. He fled on foot and someone drove him to Wilmington Hospital.",5:57 p.m.,Man shot during robbery,2011,2011-06
false,false,false,false,false,false,"June 11, 2011",6,1,38,39.746358,-75.565459,"400 N Broom St, Wilmington, DE 19805","Officers responding to a report of a shooting found witnesses who said the victim was driven to St. Francis Hospital, where police found the man in critical condition with a single gunshot wound.",1 a.m.,Man shot on Broom Street,2011,2011-06
false,false,false,true,false,false,"June 14, 2011",2,21,39,39.752054,-75.5320461,"In the area of 700 E 26th St, Wilmington, DE 19802","Officers responding to a report of a shooting with multiple victims found a 16-year-old boy with bullet wounds to both legs, a 15-year-old boy with several gunshots to his arm, and an 18-year-old woman with a bullet wound to her leg. All were taken to Christiana Hospital with injuries that were not life threatening.",9:34 p.m.,"Three teens shot, two several times",2011,2011-06
false,false,false,false,false,true,"June 19, 2011",0,0,40,39.7493748,-75.5278618,"In the area of Northeast Blvd &amp; E 26th St, Wilmington, DE 19802","Police did not release any details about the shooting or the wounds, except that the victim was taken to Christiana Hospital in critical but stable condition.",12:16 a.m.,Man shot at 26th and Northeast,2011,2011-06
false,false,false,false,true,true,"June 21, 2011",2,3,41,39.7515961,-75.5297303,"In the area of E 27th St &amp; N Locust St, Wilmington, DE 19802","Phillip Costango was found with multiple gunshot wounds and taken to Christiana Hospital, where he died. Roughly 6 months later, police arrested Markevus Pulliam and Pierre Bailey for the shooting.",3 a.m.,"32-year-old man shot, killed",2011,2011-06
false,false,false,false,false,false,"June 29, 2011",3,14,42,39.7545213,-75.5384461,"Tatnall St &amp; W 24th St, Wilmington, DE 19802",Police responding to a report of a shooting found the victim with a single gunshot wound to his right foot. He told police he was at the playground on the corner when someone began shooting a handgun at him. He was taken to Christiana Hospital in good condition. A car driving past the scene also was struck but no one inside was hit.,2:45 p.m.,Man shot at playground,2011,2011-06
false,false,false,false,true,true,"June 30, 2011",4,23,43,39.746372,-75.557111,"In the area of 800 W 8th St, Wilmington, DE 19801","Dewey Lee, who lived near Newark, was found shot to death after his pickup truck crashed into a telephone poll. Police responding to the crash found him unconscious with a bullet wound in his torso. He was rushed to Christiana Hospital, where he was pronounced dead. At the time of the homicide, police said they did not know where Lee was shot and speculated he might have been driving himself to the hospital when he crashed.

More than a year later, Jeffery Kent was arrested and charged with first-degree murder and possession of a firearm during the commission of a felony in connection with Lee's death. He was committed to Howard R. Young Correctional Institution and was being held without bail.",11:57 p.m.,Man found shot to death in pickup,2011,2011-06
false,false,false,false,true,false,"June 30, 2011",4,8,44,39.7571551,-75.5354724,"In the area of 200 W 28th St, Wilmington, DE 19802","Teiso Richardson was shot in the head and chest as he answered the door to his apartment, as his wife and children watched. Richardson was pronounced dead at the scene.",8:20 a.m.,"Father shot, killed in front of family",2011,2011-06
false,false,false,false,true,true,"July 3, 2011",0,22,45,39.7418899,-75.5416301,"In the area of E 9th St &amp; Kirkwood St, Wilmington, DE 19801","Police responding to a report of a shooting found Braheem Curtis suffering from a gunshot wound to his chest. He was taken to Christiana Hospital, where he was pronounced dead.",10:45 p.m.,"Man shot in chest, killed",2011,2011-07
false,false,false,false,false,false,"July 3, 2011",0,21,46,39.740665,-75.54226,"In the area of 800 Kirkwood St, Wilmington, DE 19801",An unidentified man was shot in the left buttock and hospitalized in stable condition.,9:12 p.m.,Man shot in buttocks,2011,2011-07
false,false,false,false,false,false,"July 14, 2011",4,0,47,39.73699,-75.5699669,"In the area of S Franklin St &amp; Cedar St, Wilmington, DE 19805","The victim, an unidentified man, was shot in the right thigh and taken to Christiana Hospital in stable condition. Police said that another man in the neighborhood said he fired at the man and another man who was trying to burglarize his home because he thought one of them was armed.

The case was cleared as an ""exceptional clearance"" because police determined the shooter was acting in self-defense.",12:58 a.m.,"Man shot trying to burglarize home, neighbor says",2011,2011-07
false,false,false,false,true,false,"Aug. 9, 2011",2,18,48,39.735974,-75.570195,"1200 Maryland Ave, Wilmington, DE 19805","Norman Alhout, owner of Johnny's Food Market, was shot in the head as he struggled with two men robbing his store. The men wore dark clothes and hoodies that were pulled down to partially cover their faces.",6:53 p.m.,"Food market owner shot, killed during robbery",2011,2011-08
false,false,false,false,false,false,"Aug. 16, 2011",2,22,49,39.7598859,-75.5322242,"In the area of 300 W 32nd St, Wilmington, DE 19802",Police responded to Wilmington Hospital after receiving a report that a shooting victim had walked into the emergency room. The victim told police he was shot while answering his front door.,10 p.m.,Man shot after answering door,2011,2011-08
false,false,false,false,false,true,"Sept. 7, 2011",3,16,50,39.747041,-75.543065,"In the area of 1300 N Walnut St, Wilmington, DE 19801","Police responding to the a report of a shooting found the victim with several bullet wounds to his legs. Police said the victim and another man had argued earlier in the day and the attacker returned later. The two argued again and the man pulled out a gun and fired several shots at the victim, police said.",4 p.m.,Man shot several times after argument,2011,2011-09
false,false,false,false,true,true,"Sept. 14, 2011",3,20,51,39.754514,-75.5396295,"124 W 23rd St, Wilmington, DE 19802","Helm was shot once in the chest on the steps of his home, then went inside and collapsed in his mother's arms. ""Blood was gushing from his mouth,'' she told a reporter. Helm was rushed to Christiana Hospital, where he was pronounced dead.",8:44 p.m.,"Teen shot, collapses into mother's arms",2011,2011-09
false,false,false,false,false,false,"Sept. 22, 2011",4,0,52,39.7293925,-75.5463771,"In the area of 600 S Locust St, Wilmington, DE 19801","The victim, an unidentified male, said he was returning from an party in a Southbridge park when three men approached him dressed in black. One man pulled out a handgun, said, ""Hey,'' and fired several shots at him, with one bullet grazing his upper arm, he told police.",12:47 a.m.,"Man shot at, grazed",2011,2011-09
false,false,false,false,false,true,"Sept. 26, 2011",1,23,53,39.740455,-75.5631927,"In the area of 1000 Elm St, Wilmington, DE 19805","Police responding to multiple reports of a shooting found the woman suffering from several bullet wounds on the sidewalk. She was taken to Christiana Hospital in critical condition and underwent surgery.

Police arrested Michael Crumpler, 20, but charges were dropped because the victim would not cooperate with investigators.",11:59 p.m.,Police find woman with several bullet wounds,2011,2011-09
false,false,false,false,true,true,"Oct. 2, 2011",0,2,54,39.7461567,-75.5332075,"In the area of Thatcher St &amp; E 17th St, Wilmington, DE 19802","Police responding to a report of a body on the sidewalk found Ernie Cole dead of multiple gunshot wounds, including one to his head.",2:36 a.m.,Police find man dead on sidewalk,2011,2011-10
false,false,false,false,false,false,"Oct. 9, 2011",0,4,55,39.7495776,-75.5265942,"In the area of N Claymont St &amp; E 27th St, Wilmington, DE 19802","The unidentified victim told police he was standing at the corner when he heard gunshots and ran to this car. Once inside, he told police, he realized he had been shot in the left thigh and drove to Wilmington Hospital in stable condition,",4:05 a.m.,Man shot in thigh,2011,2011-10
false,false,false,false,false,false,"Oct. 11, 2011",2,2,56,39.7466859,-75.570729,"In the area of 1700 Conrad St, Wilmington, DE 19805","The victim told police she was robbed by an armed man of unspecified belongings, then shot in the right arm and leg. She was taken to Christiana Hospital in stable condition.",2:16 a.m.,"Woman robbed, shot twice",2011,2011-10
false,false,false,false,false,false,"Oct. 12, 2011",3,20,57,39.741129,-75.565899,"In the area of 1200 Elm St, Wilmington, DE 19805","Police, who received numerous phone calls about shots being fired, found the victim with three bullet wounds to his upper body. He was taken to Christiana Hospital in stable condition.",8:20 p.m.,Man shot three times,2011,2011-10
false,false,false,false,false,false,"Oct. 16, 2011",0,15,58,39.7442752,-75.5537367,"In the area of N Washington St &amp; W 7th St, Wilmington, DE 19801","Police responding to a report of shots fired found the male victim nearby, at Eighth and Tatnall streets, with a bullet wound in the leg. He told police he was walking when he was shot. Police provided no additional information about the case. The victim was taken to Christiana Hospital in stable condition.",3:24 p.m.,Man shot in leg,2011,2011-10
false,false,false,false,false,false,"Oct. 18, 2011",2,22,59,39.758122,-75.541114,"In the area of 500 W 24th St, Wilmington, DE 19802","The victim, who was shot multiple times, said he was walking in the area when he heard shots and began leaving, only to realize he had been hit. A friend drove him to Wilmington Hospital in stable condition.",10:57 p.m.,Man shot several times,2011,2011-10
false,false,false,false,false,true,"Oct. 19, 2011",3,19,60,39.751967,-75.536273,"In the area of 2300 Carter St, Wilmington, DE 19802","Officers responding to a report of shots fired found the man in the 2200 block of Lamotte St. with a bullet wound to his chest. He provided no information about how he was wounded and was ""uncooperative,'' police Master Sgt. Donald Bluestein said. He was taken to the hospital in stable condition.",7:40 p.m.,Shooter arrested though victim uncooperative,2011,2011-10
false,false,false,false,false,true,"Oct. 20, 2011",4,0,61,39.745797,-75.55663,"In the area of 700 N Monroe St, Wilmington, DE 19801","Officers who responded to a report of shots fired learned that the victim had just gone to Wilmington Hospital with a bullet wound in his shoulder. The man told police he was walking to a friend's house when three men approached, forced him to his knees at gunpoint and and robbed him of unspecified belongings after threatening to kill him. He told police he managed to run off but the men fired several shots, striking him once as he fled.",12:05 a.m.,Man shot fleeing from robbers,2011,2011-10
false,false,false,false,false,false,"Oct. 26, 2011",3,22,62,39.759375,-75.5371126,"W 28th St &amp; Creston Pl, Wilmington, DE 19802",Police responding to a report of shots fired found the man with a gunshot wound to his leg. He was taken to Christiana Hospital in stable condition.,10:14 p.m.,20-year-old shot in leg,2011,2011-10
false,false,false,false,true,false,"Oct. 31, 2011",1,1,63,39.7471063,-75.5630709,"W 6th St &amp; N Franklin St, Wilmington, DE 19805","A woman flagged officers down and directed them to two men's front porch, thinking they were drunk. Instead, officers found them both suffering from single gunshots to the torso. Nicacio Rojas also was shot once in the left leg. Both men were taken to Christiana Hospital, where they were pronounced dead.",1:47 a.m.,"Two men found shot on porch, die",2011,2011-10
false,false,false,false,false,false,"Nov. 9, 2011",3,19,64,39.741296,-75.558324,"In the area of 200 N Madison St, Wilmington, DE 19801",Police responding to a report of shots fired found a man slumped against a car and suffering from four gunshot wounds to his left upper chest. Police said the man had been sitting in his car when someone walked up to the driver's side window and shot him. He was taken to Christiana Hospital in stable condition.,7:47 p.m.,Man shot four times in car,2011,2011-11
false,false,false,false,true,false,"Nov. 11, 2011",5,20,65,39.741296,-75.558324,"In the area of 200 N Madison St, Wilmington, DE 19801","Anderson Brown, who lives on the block, was killed by a single gunshot wound about 48 hours after being freed from prison. Brown had been serving time for a manslaughter conviction stemming from a 2005 Wilmington slaying.",8:55 p.m.,"Man shot, killed 48 hours after prison release",2011,2011-11
false,false,false,false,false,false,"Nov. 13, 2011",0,22,66,39.760616,-75.53503,"In the area of 3000 N Madison St, Wilmington, DE 19802","A woman told police she was in a moving car when someone outside began firing at the vehicle, striking her in the leg. She was hospitalized in stable condition.",10:29 p.m.,Woman driving shot in leg,2011,2011-11
false,false,false,false,false,false,"Nov. 14, 2011",1,17,67,39.740588,-75.542883,"In the area of 600 E 8th St, Wilmington, DE 19801","The victim said he was walking when he heard what he believed were gunshots, felt pain to his arm and realized he had been struck. He walked to Wilmington Hospital, several blocks away, for treatment.",5:57 p.m.,Man shot in arm walks to hospital,2011,2011-11
false,false,false,false,false,false,"Nov. 15, 2011",2,21,68,39.760616,-75.53503,"In the area of 3000 N Madison St, Wilmington, DE 19802",The man suffered a graze wound to the side of his head after someone fired at his vehicle as he sat inside. A 20-year-old woman suffered minor facial injuries from glass fragments after the windshield shattered.,9:45 p.m.,Bullet grazes man's head,2011,2011-11
false,false,false,false,false,false,"Nov. 20, 2011",0,20,69,39.743589,-75.553994,"In the area of 600 N Washington St, Wilmington, DE 19801","During an altercation with several people in which several shots were fired, an unidentified man suffered a superficial gunshot wound to the head. He fled the scene but was found by officers responding to the report of shots fired. He was taken by ambulance to Wilmington Hospital.",8 p.m.,"Man shot in head, flees",2011,2011-11
false,false,false,false,false,false,"Nov. 20, 2011",0,17,70,39.760132,-75.536109,"In the area of 2900 N Madison St, Wilmington, DE 19802","Officers responding to a report of shots fired found a vacant vehicle, still running, with multiple bullet holes in its side. Nearby, the victim had a single gunshot to his right upper back. He was taken to Wilmington Hospital in stable condition.",5:43 p.m.,Man in car shot in back,2011,2011-11
false,false,false,false,false,false,"Nov. 28, 2011",1,19,72,39.741486,-75.56269,"S Jackson St &amp; Read St, Wilmington, DE 19805","A man, who police found sitting on the steps of a convenience store, told police someone emerged from a vehicle and fired at him, striking him in the left elbow and thigh. He was taken to Christiana Hospital in stable condition.",7:45 p.m.,Man outside convenience store shot twice,2011,2011-11
false,false,false,true,false,false,"Nov. 29, 2011",2,21,73,39.75677,-75.5411946,"In the area of 2300 N Jefferson St, Wilmington, DE 19802",A teen boy was shot once in the abdomen and went to a nearby home to report that he had been wounded. He was taken to Christiana Hospital.,9:03 p.m.,15-year-old shot in abdomen,2011,2011-11
false,false,false,false,true,true,"Nov. 29, 2011",2,10,74,39.754764,-75.541054,"201 Concord Ave, Wilmington, DE 19802","Esam Al-Haidari, a clerk at Concord Food Market, was killed during a robbery by a gunshot to the chest with a large-caliber weapon. The gunmen fled on foot. Police said the neighborhood lead them to physical evidence in the case that resulted in the arrest of Melvin Wright and Omar Mitchell.",10:33 a.m.,Food market clerk killed during robbery,2011,2011-11
false,false,false,false,false,false,"Dec. 11, 2011",0,19,75,39.7273705,-75.546175,"In the area of 700 Elbert Pl, Wilmington, DE 19801","The victim told officers he was standing on the block when three people appeared and started firing, with bullets striking him in the left buttock and grazing his left hip. The gunmen fled in a green Ford Taurus.",7:20 p.m.,Three gunman shoot man twice,2011,2011-12
false,false,false,false,false,false,"Dec. 21, 2011",3,1,76,39.745519,-75.5572849,"In the area of 800 W 7th St, Wilmington, DE 19801","Officers responding to a 911 call found the woman on the sidewalk, suffering from several gunshot wounds. She was taken to Christiana Hospital in stable condition.",1:30 a.m.,Woman shot several times on 7th St.,2011,2011-12
false,false,false,false,false,false,"Dec. 21, 2011",3,20,77,39.7291265,-75.5439679,"S Heald St &amp; B St, Wilmington, DE 19801","A man was shot in a spray of bullets and taken by private car to St. Francis Hospital and then by ambulance to Christiana Hospital in serious condition. One bullet entered a home and lodged into a bedroom wall, narrowly missing a woman watching television.",8:30 p.m.,Man shot in spray of bullets,2011,2011-12
false,false,false,false,false,false,"Dec. 22, 2011",4,19,78,39.751443,-75.5488691,"In the area of 1500 N Washington St, Wilmington, DE 19801",A 18-year-old man was shot once in the abdomen and taken to Christiana Hospital in stable condition.,7 p.m.,18-year-old shot in abdomen,2011,2011-12
